Departamento,Año,Numero_nacimientos
ANTIOQUIA,2017,76684
ATLANTICO,2017,43453
BOGOTA D.C.,2017,108969
BOLIVAR,2017,34906
BOYACA,2017,14921
CALDAS,2017,9298
CAQUETA,2017,7223
CAUCA,2017,15991
CESAR,2017,20118
CORDOBA,2017,27000
CUNDINAMARCA,2017,20462
CHOCO,2017,5304
HUILA,2017,20355
LA GUAJIRA,2017,17583
MAGDALENA,2017,24162
META,2017,15860
NARIÑO,2017,18528
NORTE DE SANTANDER,2017,21114
QUINDIO,2017,6163
RISARALDA,2017,11037
SANTANDER,2017,30776
SUCRE,2017,16542
TOLIMA,2017,16391
VALLE DEL CAUCA,2017,53322
ARAUCA,2017,4647
CASANARE,2017,6042
PUTUMAYO,2017,4195
SAN ANDRES ISLA,2017,804
AMAZONAS,2017,1433
GUAINIA,2017,834
GUAVIARE,2017,1279
VAUPES,2017,576
VICHADA,2017,732
ANTIOQUIA,2018,74504
ATLANTICO,2018,43800
BOGOTA D.C.,2018,103565
BOLIVAR,2018,34179
BOYACA,2018,13778
CALDAS,2018,8758
CAQUETA,2018,7034
CAUCA,2018,15143
CESAR,2018,22577
CORDOBA,2018,26524
CUNDINAMARCA,2018,20466
CHOCO,2018,6663
HUILA,2018,19268
LA GUAJIRA,2018,21029
MAGDALENA,2018,23938
META,2018,15421
NARIÑO,2018,18224
NORTE DE SANTANDER,2018,23431
QUINDIO,2018,5887
RISARALDA,2018,10637
SANTANDER,2018,29562
SUCRE,2018,16569
TOLIMA,2018,15871
VALLE DEL CAUCA,2018,50848
ARAUCA,2018,5196
CASANARE,2018,5976
PUTUMAYO,2018,4029
SAN ANDRES ISLA,2018,750
AMAZONAS,2018,1382
GUAINIA,2018,1018
GUAVIARE,2018,1293
VAUPES,2018,667
VICHADA,2018,1128
AMAZONAS,2019,1160
ANTIOQUIA,2019,73011
ARAUCA,2019,5847
SAN ANDRES ISLA,2019,741
ATLANTICO,2019,44414
BOGOTA D.C.,2019,101090
BOLIVAR,2019,34063
BOYACA,2019,13303
CALDAS,2019,8266
CAQUETA,2019,6873
CASANARE,2019,6181
CAUCA,2019,14421
CESAR,2019,22935
CHOCO,2019,4312
CORDOBA,2019,25219
CUNDINAMARCA,2019,20958
GUAINIA,2019,1105
GUAVIARE,2019,1284
HUILA,2019,17837
LA GUAJIRA,2019,23967
MAGDALENA,2019,24526
META,2019,15083
NARIÑO,2019,16738
NORTE DE SANTANDER,2019,26430
PUTUMAYO,2019,4030
QUINDIO,2019,5491
RISARALDA,2019,10585
SANTANDER,2019,28299
SUCRE,2019,16020
TOLIMA,2019,14738
VALLE DEL CAUCA,2019,48676
VAUPES,2019,664
VICHADA,2019,1553
